 U 1000000000    2290115    4841215    9041352   12191626    5876380    1168836   12741206    4182574    2394454    4822817   13141813   16155495   32759157  499999523    2260918    5911850    2327951    1925866   35740592    2290115  358355741   15290852    1614586    4175210          0    1663059   12227955  348280380    2290115    5134460   15189787  571428026    3693258          0   13700451   11048042   12873894    3072427    1168836  571428026   16542438   17109742   55184253  666665892   12692063    8825745   31145538    6609192  799999237   19259706    7782435    3215211   12982709    4525258   10466194   15502261    3422973   11140243    3871590          0  499999523    6891058    3533616   10126525   15665479    5370991          0    4636887  430026889   11048042    3072427    3742451   32759157    5656572   15502261    3871590   44841677   12122483    8818581    6340268   13700451    7183949    1582453    3693258   15290852          0    1605026   15144303    3306834          0    7257554   17724511    2389761    1582453    7482905   33640163    3987498   22155639   19712720  444444021   10466194    4951935     739849  666666031          0    4833004   24916431    7183949   16024153   44147402    5647217    6977463    2581060   16133182    5883830    5582095    4819282   12115442  799999237   10126525   15484642    8858435   15710164   12839804   15383565          0    4753262          0   10096202    6909825    7426829 
 U    2290115 1000000000  333333492     288696    3637653     270746    2223896    1985587    3870469          0    3333378    3269074    2013273     519246     366067    1119888     342240    2631553     456277     444244  500000238     488089    3111921          0    1672111          0    1537531    2103964     488089  500000238    1485876    4365830     418362     204682          0    1120535     924451    1169214          0    3335845     418362    1162521    1199805     450464     455862    6288021    2658826          0  250000119     585707    1683452     632294    2222252     946245     285480    1501227    5805703     990584     470649   50248876          0     844900  200000095    4316743    1786354     793638          0          0    1599159     585707     924451          0    1537531    4094734     356850    1873353     704602     663157    4207927    1437952     983227    2241071     384928    1610541     153512     913281          0     897976     190315    1761918          0     821687    2285567    1593470    1610541  250000119     253807     380629    3809279    4903611     751022    1501227     422839          0     488089          0          0          0     384928          0     270278    1734655     750613  166666746    1904640    1772551    1134844     290408     152252     585707    2910553     434050    3317545     566884    1122302    2917115          0    1320334          0     955606    1618855     644150 
 U    4841215  333333492 1000000000    2873789    7986612    2605826    3605329    4741979   24739822     456174    4553431    5131268    5300737     759217    1353788    1373299    1403636    4088640     795103    2150611  349032941    2239338   11034937    1632191    2685449          0    2013951    9386695    2239338  349032941    3013383   10917176    1547186     398151          0    2767244    6088554    1473022     971355    3605329    1547186    1914792    1296408    2848882    1805050   10706167    3769267     535317  261774706    2166060    4097460     877386    3035621    1654677    1991276    3943624   37109733    2008922     985833   58983830          0    1521794  209419765   14524053    5763921    1854991          0          0    5180935    1170807    6088554    1295140    3683668    4912485    2489095    6358766     704602    2688795    4279446    3889959    5165124    3689659    3831719    1750408    2967700    5427754          0    1750009    1346024    2078460          0    2711533    4031019   15030447    1750408  261774706    1290366    1794698    6718365    7696901    1352705    4609897    4455356          0    1805050          0    1132725     321190    3831719    1267334    1709329    2094940    1971812  174516470    3359182    2659997    2847994    1639492    1076819    2166060    7278118     861614   21205562    1324993    2731640   10484066          0    7951106          0    2416847    2817261     975256 
 T    9041352     288696    2873789 1000000000    2392264    2432706    2206739    5210032    4878657    2498291    3803534    3658137    1545548    5635369    3003547    2142399    2234145   13341019     928074    4465611     866087    3301168    5746144     607437    3738895          0     661154    2745871    3244422     866087   10047651    3831679    3432625    4039571          0    7162976   15559405    4073603    2314037    2206739    3432625    7764403    3661850    3709374    4004729    3581828    5717751    8142100    3684716    4805675    7764403   14639182    3497186    4708208    5055970    3287199    8673449    6698434    2016319    2702042          0    4042784    5348609    1498769    2097418    7209745    6199560          0    7445645    3961402   15559405    2314037     661154    5635369    6319962    2876015    2702042    3173279    2745871    9065754    5395952    7162976  750000179    1698829    4039571    5746144          0    5321830    4512434    2521406          0    5180431    9297859    3597301    1698829   18418580    6114550    4512434    4015711    4401619    3593586    2700805    3365992          0    4004729          0    2878328    6513680  750000179    9474421    2967499    4142559    3644732    1801361    7748216    3811834    7064052   10423904    3609947    4945665    3265142    1458303    4956256    5149818    5176269    1668580          0    2318322          0    3008289    8830065    1344213 
 U   12191626    3637653    7986612    2392264 1000000000    6707264    6875998    8198981    7359444    4180444    5043557   23167288    8270703    8671039   13715565    7359444    6008859    3705357    2716402    7107664   13507397   10087691   11570011    1653641    6997045          0    7649655   10766585   10451315   13507397    9490512   12228994   15674932    2547338          0   14555292   12149411    5537406    6933874    6875998   15674932    9420766    3049028   13709540   18287420    4806995    7397540    9637261   14672540   18287420    9002159    7850765    5043557    5349963    8640307    5832422   12007146    9490512    2914450   12181200          0   13715565   15723364    8382781    8821852   10376292     983808          0   10088889    8020630   12149411    6933874    8440243    7091170    8640307    9893322    9179863    9830743    7230695    8034966    5751101   14555292    4745137    2522011    6724907   10712880          0    6508564    3655556    7584566          0   15886880   14144277    8533683    2522011   13596612    7847021    2324556   14144277   23167288   12191614   10549535    3628767    1485057   18287420          0    3918300    9637261    4784532    3202014   13709540   11925150    6508564   14690183   14144277    8367308   15200252   11594809    3655556   18287420   26398283    2083731   10291839    9401741    9420766   10536972          0    6794507          0    3655556    8939816    2914450 
 T    5876380     270746    2605826    2432706    6707264 1000000000    3802829    6483413    5927939          0   15581026   10996358    8480960    6049824    2784503   11855878     568104    2678809    1410755   10078414     812239    4360116    7692299     862752    8707553          0          0    5006456    4360116     812239    6158188    3894274    3182289    3720246          0   11602829   11231415    4223579     523062    3802829    3122797    4216216    1855078    7973799    3712670   14649953    4349027    3740569    2116950    4455204    4114254    7308429   10537473   21992715   13306897   20270968   29150611    4105459          0    5070900          0    4152099     567677    6644750  499999344    1383212    2069084          0    5231849    4371915   11231415     697416    2536850    6931059   16633621    7046716    1297817    5361795    5602259   13217226   11312642   15470439    2951212    1263915   11638399    6266272          0    4483162    5153591    3285747          0    7552701    6485960    5656321    1263915    7689596    6047049    6749215   10809933   16494536    3690754   20270968    3703398          0    3712670          0     569209    2244341    2951212   21058103    4784279    4070696   10135484    3535826    5404966    2899352    2723261    3591784    4122873    3940969    2596183    3063489   16657492    1326843    2810811     558262          0   12721439          0    4523009    4538768     196413 
 U    1168836    2223896    3605329    2206739    6875998    3802829 1000000000     339745     347215     196641    1769413     902162     447539    1045489     194806     694431    1075268    3378199    1108063     973778    2223894     256517    6535850          0     541941          0     268884    4213230     256517    2223894    1500076    2184243     222635     572506          0    1274971    1357680    1135702     830226  333333731     222635     744569     152316    1432706     259741    1052664     323297     114188    1667921     311689     597717    1095769    1179609     835229    4097490    1198084    1208600    1000050          0    1238768          0     327174    1334337    2854630    1850987     260345          0          0    1606364     228622    1357680    1106968    1222019     946197    5121862     446299    1238768     513035    1219760    2232098     656626    1699961     914565    1139383    1999164    2568674          0    1691439     496744     967109          0    1275485    1204669     151615    1139383    1667921     584267     662326    1910550    1353243     290821    1198084     332278          0     259741          0     326299      68513     914565     487106     859623     142224    1127626    1111947    1003890     215532    1751469    2248910     397395     311689    1456162     182445     690629     185961     496379     702379          0     671309          0     331163    2919115     782999 
 T   12741206    1985587    4741979    5210032    8198981    6483413     339745 1000000000    2979894          0    3252152    2561159    2788791    3728624    3943878    1948115    1276878          0   14940009    5960384    1985587    3563058   12245946    1093511   10536740          0    1560687    4638888    2669171    1985587    9274973    2500107    3789481    5045915          0    2259117   10932311    5517906     448938     917348    3333027    8439517    1834372    4707730    4421061    6592460    4348829    4848861    2038883    5305273    7104934   10890691    2168101    5122318    2488546    8676131   16382821    6183316    4139939    3688370          0    3871990   20558044    3039875    2905870   14926073    2730368          0    2552199    4359462   10932311     598583    2584293    4183416    3110683    1975658    3308909    3823888    2691008    4475690   10708263    3012156    6776841   36887821    4705322   12245946          0    1899349    1297926     560302          0    5126744    5748014    3400405   36887821   15841202    4326619     465318    9580023    2855079    3441769    8676131    5492426     993820    4421061          0    3802820    2909317    6776841   10758294    2824638    7425038    4338066    2060720    8899747    2899220    1595756    3573078    1038341    4780227    3227035          0    9361612   10661481    5626345   14183776          0    3560957          0     865284    2659593    2392107 
 T    4182574    3870469   24739822    4878657    7359444    5927939     347215    2979894 1000000000          0   11689083   11755224   11025244    2933620    6451874  171220129    3753169    9127110    4396071    4207532   23222839    8602499   11404310    3272208    2871345          0    1594519    8950829    8602499   23222839    4907164   13983801    7373571    1002414          0    6550844   15737582    3320346    2352865    1811750    7373571    7290786    1323297   15732437    4480251    5949014    8093424    4146824   23222839    8602499   13306627    3508247   11689083    6712116    8182184    8320660  999999285    4907164    5770708   21560064          0    8153327   23222839   11475789   11480433    5036756     261051          0   19587547    8602499   15737582    2352865    1594519    2865832    8182184   19354597     774221    4893906    6063642    5566967   10067050    6550844    5650992    1059330    8281389   11404310          0    3943458   11227971    2846217          0    7552088   39752795   14025102    1059330   23222839    5130656   10449836    6800631   11601727    7247402    8320660   14859186     431043    8602499          0    3922963    4146824    5650992    5652748   15732437    4925864    8320660   23222839   39752795    8335360    7950599   17868361   11227971    9126971   13983801    2727287  857142244    4728993   13306627    8130573          0    6891695          0   15054271    5903756    9111233 
 T    2394454          0     456174    2498291    4180444          0     196641          0          0 1000000000          0    1000433     265466    3454455     726668          0          0    3494758    1144956    1105015          0     968891     671757    4431173          0          0          0          0     968891          0          0    1448015     830478          0          0          0     598770          0          0     589924     830478          0          0     791715     903584    2012343          0    2246070          0    1162669     632893          0     221183    2000865          0          0     306628          0          0          0          0     726668     679905          0     327336    1307762          0          0     773411    1162669     598770          0    2563081    5181682          0          0          0     809060          0    1321933     926923          0    2220704          0          0     671757          0          0          0    1460938          0     755390          0    2215586          0    3601911     231607          0          0    1500649     645927          0     533541          0     968891          0          0    1347642    2220704          0     475029    1489044          0          0    1436890          0     308555    1082776          0    1162669     965343          0     175216     934116     421929          0          0     398198          0     820533          0          0 
